location,alpha.3,date,stringency_index,res_pct_chng,reproduction_rate,distrust_people,gdp_per_capita,ghs,sch_enrol_per_cap,gdp_growth,health_spending_pct_gdp,pop.km2,democracy_index,ethnic,conf_govt,conflict_index,education_index,daily_cases_100k,daily_deaths_100k,continent,excess_deaths_per_100k
Italy,ITA,2020-09-28,47.88142857142857,1.9516310461192352,1.3442857142857143,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,4.0762285714285715,0.03662857142857143,Europe,0.097097272
Italy,ITA,2020-10-05,50,2.997750281214848,1.6328571428571428,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,8.317857142857143,0.05104285714285715,Europe,0.246518585
Italy,ITA,2020-10-12,50,4.687289088863892,1.6957142857142857,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,16.298828571428572,0.10844285714285715,Europe,0.163727269
Italy,ITA,2020-10-19,67.19285714285714,6.424071991001124,1.64,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,30.7937,0.23507142857142854,Europe,0.375809133
Italy,ITA,2020-10-26,74.07,8.467941507311586,1.4457142857142857,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,46.086,0.40449999999999997,Europe,0.764153329
Italy,ITA,2020-11-02,78.04142857142857,11.699662542182228,1.2457142857142858,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,55.67478571428571,0.6894714285714285,Europe,1.10098923
Italy,ITA,2020-11-09,79.63,14.159730033745781,1.09,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,57.32284285714286,0.9767571428571429,Europe,1.3968075150000001
Italy,ITA,2020-11-16,79.63,14.987626546681664,0.9428571428571428,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,51.2602,1.1440428571428571,Europe,1.599202038
Italy,ITA,2020-11-23,79.63,13.893138357705286,0.8228571428571428,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,39.19334285714286,1.194357142857143,Europe,1.547930019
Italy,ITA,2020-11-30,79.63,16.057367829021373,0.8042857142857144,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,32.250099999999996,1.1528,Europe,1.51149617
Italy,ITA,2020-12-07,79.63,10.635545556805399,0.8485714285714285,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,26.742271428571428,1.0908714285714285,Europe,1.288687349
Italy,ITA,2020-12-14,79.63,8.860517435320585,0.8857142857142857,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,25.2329,0.9415714285714285,Europe,1.031665679
Italy,ITA,2020-12-21,82.54142857142857,19.262092238470192,0.9014285714285715,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,21.29252857142857,0.7530142857142856,Europe,0.859987112
Italy,ITA,2020-12-28,83.73142857142858,19.992125984251967,1.0714285714285714,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,26.96672857142857,0.7797,Europe,0.469374661
